P20_001,名称,所在地,種別,P20_005,P20_006,P20_007,P20_008,P20_009,P20_010,P20_011,P20_012,レベル,備考,緯度,経度,NO
13104,あゆみの家,東京都新宿区西落合1-30-10,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.720675,139.678911,123
13104,下落合地域交流館,東京都新宿区下落合3-12-33,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,3,,35.721242,139.699507,124
13104,高田馬場シニア活動館,東京都新宿区高田馬場3-39-29,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,3,,35.7121589991,139.695959,125
13104,高田馬場第一児童館,東京都新宿区高田馬場3-18-21,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,4,,35.7142024601,139.697761987,126
13104,高田馬場福祉作業所,東京都新宿区百人町4-4-2,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.709066,139.702021,127
13104,山吹町地域交流館,東京都新宿区山吹町342,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.708014,139.729607,128
13104,障害者福祉センター,東京都新宿区戸山1-22-2,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,4,,35.703386516,139.717609738,129
13104,上落合児童館,東京都新宿区上落合2-28-8,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.711065,139.685439,130
13104,上落合地域交流館,東京都新宿区上落合2-28-8,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,3,,35.711018,139.685395,131
13104,信濃町シニア活動館,東京都新宿区信濃町20,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,3,,35.683399535,139.720169205,132
13104,新宿生活実習所,東京都新宿区弁天町50,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,3,,35.703717,139.727105,133
13104,新宿地域交流館,東京都新宿区新宿5-3-13,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,3,,35.6930578583,139.71101813,134
13104,新宿福祉作業所,東京都新宿区戸山1-22-12,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.703706,139.717409,135
13104,西新宿児童館,東京都新宿区西新宿4-35-28,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.686413,139.68677,136
13104,西早稲田地域交流館,東京都新宿区西早稲田1-22-2,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.711811,139.717889,137
13104,早稲田南町児童館,東京都新宿区早稲田南町50,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.705093,139.722185,138
13104,早稲田南町地域交流館,東京都新宿区早稲田南町50,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.705214,139.722413,139
13104,百人町ことぶき館,東京都新宿区百人町2-18-21,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.703342,139.698172,140
13104,百人町児童館,東京都新宿区百人町2-18-21,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.703291,139.698109,141
13104,富久町児童館,東京都新宿区富久町22-21,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.694068,139.715631,142
13104,北新宿第一児童館,東京都新宿区北新宿2-3-7,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.698456,139.690244,143
13104,北新宿地域交流館,東京都新宿区北新宿2-3-7,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,3,,35.6985260485,139.690115571,144
13104,榎町子ども家庭支援センター,東京都新宿区榎町36,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,4,,35.7045949991,139.727685,146
13104,花園幼稚園,東京都新宿区新宿1-22-1,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.689568,139.713604,148
13104,牛込仲之幼稚園,東京都新宿区市谷仲之町4-33,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.69579,139.723575,154
13104,戸山ことぶき館,東京都新宿区戸山2-27-2,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.704526,139.710989,155
13104,戸山幼稚園,東京都新宿区百人町2-1-38,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.7038999991,139.701938,157
13104,戸塚第一幼稚園,東京都新宿区西早稲田3-10-12,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.710955,139.714714,159
13104,戸塚第二幼稚園,東京都新宿区高田馬場1-25-21,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.712149,139.706104,162
13104,高田馬場第二児童館・ことぶき館,東京都新宿区高田馬場1-4-17,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.711063,139.709299,164
13104,高齢者いこいの家清風園,東京都新宿区中落合1-7-26,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.717623,139.690547,165
13104,四谷第六幼稚園,東京都新宿区大京町30,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.681764,139.716048,169
13104,子ども総合センター,東京都新宿区新宿7-3-29,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,3,,35.7007955107,139.712311409,171
13104,市谷幼稚園,東京都新宿区市谷山伏町1-3,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.699734,139.728685,173
13104,信濃町子ども家庭支援センター,東京都新宿区信濃町20,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,4,,35.683301,139.720322,174
13104,新宿養護学校,東京都新宿区西新宿4-20-11,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.68829,139.686162,177
13104,西戸山幼稚園,東京都新宿区百人町4-7-1,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.708871,139.695688,180
13104,西新宿ことぶき館,東京都新宿区西新宿4-8-35,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.688671,139.684302,181
13104,西落合児童館,東京都新宿区西落合1-31-24,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.7197,139.679606,185
13104,早稲田幼稚園,東京都新宿区早稲田南町25,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.7039,139.723519,190
13104,大久保ことぶき館,東京都新宿区大久保1-4-1,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.699881,139.706896,191
13104,大久保幼稚園,東京都新宿区大久保1-1-21,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.699623,139.705715,193
13104,中井児童館,東京都新宿区中井1-8-12,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.71462,139.684133,195
13104,中町児童館・ことぶき館,東京都新宿区中町25,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.69896,139.734706,196
13104,中落合ことぶき館,東京都新宿区中落合2-7-24,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.717956,139.69398,197
13104,中落合子ども家庭支援センター,東京都新宿区中落合2-7-24,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.717794,139.693836,198
13104,津久戸幼稚園,東京都新宿区津久戸町2-2,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.702707,139.74199,200
13104,鶴巻幼稚園,東京都新宿区早稲田鶴巻町140,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.708289,139.724824,202
13104,東五軒町児童館・ことぶき館,東京都新宿区東五軒町5-24,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.706562,139.740248,210
13104,北山伏児童館・ことぶき館,東京都新宿区北山伏町2-17,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.700335,139.729907,214
13104,北新宿第二児童館・ことぶき館,東京都新宿区北新宿3-20-2,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.702893,139.689624,215
13104,本塩町児童館・ことぶき館,東京都新宿区本塩町8,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.688533,139.729363,216
13104,薬王寺児童館・ことぶき館,東京都新宿区市谷薬王寺町51,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.695986,139.724671,217
13104,余丁町幼稚園,東京都新宿区若松町13-1,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.699345,139.716103,219
13104,淀橋第四幼稚園,東京都新宿区北新宿3-17-1,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.703927,139.690827,221
13104,落合第五幼稚園,東京都新宿区上落合3-1-6,二次避難所、福祉避難所,-1,-1,0,0,0,0,0,1,1,,35.71462,139.685605,224
