P20_001,名称,所在地,種別,P20_005,P20_006,P20_007,P20_008,P20_009,P20_010,P20_011,P20_012,レベル,備考,緯度,経度,NO
13120,旭丘小学校,東京都練馬区旭丘2-21-1,避難拠点,630,504,0,0,0,0,0,1,1,,35.736618,139.676855,1635
13120,旭丘中学校,東京都練馬区旭丘2-40-1,避難拠点,600,570,0,0,0,0,0,1,1,,35.737784,139.677772,1636
13120,旭町小学校,東京都練馬区旭町2-29-1,避難拠点,630,504,0,0,0,0,0,1,1,,35.772973,139.627663,1637
13120,下石神井小学校,東京都練馬区下石神井2-20-18,避難拠点,621,486,0,0,0,0,0,1,1,,35.731589,139.605389,1639
13120,開進第一小学校,東京都練馬区早宮2-1-31,避難拠点,604,768,0,0,0,0,0,1,1,,35.754698,139.657689,1640
13120,開進第一中学校,東京都練馬区早宮1-16-50,避難拠点,616,1106,0,0,0,0,0,1,1,,35.752643,139.659661,1641
13120,開進第三小学校,東京都練馬区桜台2-18-1,避難拠点,608,459,0,0,0,0,0,1,1,,35.742811,139.666745,1642
13120,開進第三中学校,東京都練馬区桜台3-28-1,避難拠点,602,638,0,0,0,0,0,1,1,,35.745811,139.665633,1643
13120,開進第四小学校,東京都練馬区羽沢2-33-1,避難拠点,630,504,0,0,0,0,0,1,1,,35.747977,139.671688,1644
13120,開進第四中学校,東京都練馬区羽沢3-24-1,避難拠点,616,1106,0,0,0,0,0,1,1,,35.751005,139.673382,1645
13120,開進第二小学校,東京都練馬区桜台5-10-5,避難拠点,612,532,0,0,0,0,0,1,1,,35.741978,139.658412,1646
13120,開進第二中学校,東京都練馬区練馬2-27-28,避難拠点,614,850,0,0,0,0,0,1,1,,35.743338,139.652912,1647
13120,貫井中学校,東京都練馬区貫井2-14-13,避難拠点,616,1106,0,0,0,0,0,1,1,,35.739616,139.633359,1648
13120,関中学校,東京都練馬区関町北4-34-23,避難拠点,625,558,0,0,0,0,0,1,1,,35.730838,139.575614,1649
13120,関町小学校,東京都練馬区関町北3-23-34,避難拠点,630,504,0,0,0,0,0,1,1,,35.725005,139.57192,1651
13120,関町北小学校,東京都練馬区関町北5-13-40,避難拠点,630,504,0,0,0,0,0,1,1,,35.73256,139.57367,1652
13120,橋戸小学校,東京都練馬区大泉町2-11-25,避難拠点,626,560,0,0,0,0,0,1,1,,35.759002,139.602444,1653
13120,光が丘夏の雲小学校,東京都練馬区光が丘3-6-1,避難拠点,604,768,0,0,0,0,0,1,3,,35.757447,139.63133,1656
13120,光が丘四季の香小学校,東京都練馬区高松5-24-1,避難拠点,630,504,0,0,0,0,0,1,3,,35.7615579991,139.624664,1657
13120,光が丘秋の陽小学校,東京都練馬区光が丘2-1-1,避難拠点,630,504,0,0,0,0,0,1,3,,35.761697,139.634774,1658
13120,光が丘春の風小学校,東京都練馬区光が丘7-2-1,避難拠点,630,504,0,0,0,0,0,1,3,,35.755559,139.626081,1659
13120,光が丘第一中学校,東京都練馬区光が丘6-5-1,避難拠点,602,638,0,0,0,0,0,1,1,,35.760002,139.622442,1660
13120,光が丘第三中学校,東京都練馬区光が丘3-2-1,避難拠点,621,863,0,0,0,0,0,1,1,,35.755059,139.631386,1661
13120,光が丘第四中学校,東京都練馬区光が丘2-5-1,避難拠点,632,616,0,0,0,0,0,1,1,,35.761697,139.633497,1662
13120,光が丘第二中学校,東京都練馬区光が丘7-1-1,避難拠点,616,1106,0,0,0,0,0,1,1,,35.754531,139.626053,1663
13120,光が丘第八小学校,東京都練馬区光が丘1-4-1,避難拠点,604,768,0,0,0,0,0,1,1,,35.768141,139.637385,1664
13120,光和小学校,東京都練馬区石神井町2-16-34,避難拠点,630,504,0,0,0,0,0,1,1,,35.746448,139.607111,1666
13120,向山小学校,東京都練馬区向山2-14-11,避難拠点,630,504,0,0,0,0,0,1,1,,35.740644,139.641136,1667
13120,高松小学校,東京都練馬区高松3-16-1,避難拠点,630,504,0,0,0,0,0,1,1,,35.749624,139.626903,1669
13120,三原台中学校,東京都練馬区三原台3-13-41,避難拠点,616,540,0,0,0,0,0,1,1,,35.754558,139.600277,1671
13120,春日小学校,東京都練馬区春日町5-12-1,避難拠点,630,504,0,0,0,0,0,1,1,,35.746699,139.64008,1672
13120,小竹小学校,東京都練馬区小竹町2-6-7,避難拠点,630,504,0,0,0,0,0,1,1,,35.744117,139.679716,1673
13120,上石神井小学校,東京都練馬区上石神井4-10-9,避難拠点,630,504,0,0,0,0,0,1,1,,35.727783,139.589168,1674
13120,上石神井中学校,東京都練馬区上石神井4-15-27,避難拠点,603,576,0,0,0,0,0,1,1,,35.728533,139.587974,1675
13120,上石神井北小学校,東京都練馬区石神井台5-1-32,避難拠点,604,704,0,0,0,0,0,1,1,,35.735782,139.58839,1676
13120,石神井小学校,東京都練馬区石神井1-1-25,避難拠点,604,768,0,0,0,0,0,1,1,,35.735345,139.599122,1677
13120,石神井西小学校,東京都練馬区関町北1-1-5,避難拠点,630,504,0,0,0,0,0,1,1,,35.723978,139.580558,1678
13120,石神井西中学校,東京都練馬区関町南3-10-3,避難拠点,604,1019,0,0,0,0,0,1,1,,35.720617,139.580753,1679
