番号,緯度,経度,名称,種別,確保水量,所在地,詳細画像,情報更新日,備考
97,35.7633861,139.631914,練馬給水所,浄水場・給水所,45000,東京都練馬区光が丘2-4-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/93.jpg,平成27年7月9日,［住所］光が丘2-4-1
98,35.7719057,139.58279,区立大泉公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都練馬区大泉学園町6-25,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/94.jpg,平成28年4月19日,［住所］大泉学園町6-25
99,35.729617,139.649375,区立学田公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都練馬区豊玉南3-32,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/95.jpg,平成27年7月9日,［住所］豊玉南3-32
100,35.7526187,139.656165,区立はやいち公園,小規模応急給水槽（100立方メートル槽）,100,東京都練馬区早宮1-47-11,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/96.jpg,平成27年7月9日,［住所］早宮1-47-11
101,35.7480591,139.598237,区立みんなの広場公園,小規模応急給水槽（100立方メートル槽）,100,東京都練馬区石神井町8-41,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/97.jpg,平成27年7月9日,［住所］石神井町8-41
173,35.7337671,139.524477,芝久保浄水所,浄水場・給水所,6030,東京都西東京市芝久保町5-9-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/165.jpg,平成27年7月9日,［住所］芝久保町5-9-1
174,35.7354513,139.554782,保谷町浄水所,浄水場・給水所,2910,東京都西東京市保谷町1-5-24,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/166.jpg,平成27年7月9日,［住所］保谷町1-5-24
175,35.7516771,139.552224,西東京栄町浄水所,浄水場・給水所,1000,東京都西東京市栄町2-7-6,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/167.jpg,平成27年7月9日,［住所］栄町2-7-6
206,35.7152429,139.566641,第一浄水場,浄水場・給水所,3780,東京都武蔵野市吉祥寺北町4-11-46,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/197.jpg,平成29年4月1日,運搬給水拠点（給水車等の車両への水の補給施設）。拠点給水は、私立小中学校及び広域避難場所で行います。［住所］吉祥寺北町4-11-46
207,35.709673,139.53636,第二浄水場,浄水場・給水所,2610,東京都武蔵野市桜堤1-6-6,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/198.jpg,平成29年4月1日,運搬給水拠点（給水車等の車両への水の補給施設）。拠点給水は、私立小中学校及び広域避難場所で行います。［住所］桜堤1-6-6
46,35.715126,139.588683,杉並浄水所,浄水場・給水所,0,東京都杉並区善福寺3-28-5,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/45.jpg,平成29年4月1日,杉並浄水所は、平成28年12月28日から当面の間、施設の停止により応急給水ができない状況になります。その間は、近隣の給水拠点で応急給水を実施しますので、ご不便をお掛けしますがご理解とご協力をお願いします。［住所］善福寺3-28-5
47,35.671071,139.652962,和泉水圧調整所,浄水場・給水所,16600,東京都杉並区和泉2-5-23,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/46.jpg,平成27年7月9日,［住所］和泉2-5-23
48,35.7216352,139.601235,上井草給水所,浄水場・給水所,60000,東京都杉並区上井草3-22-12,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/47.jpg,平成27年7月9日,［住所］上井草3-22-12
49,35.6842424,139.641827,都立和田堀公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都杉並区大宮2-26,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/48.jpg,平成27年7月9日,［住所］大宮2-26
50,35.697308,139.656111,区立蚕糸の森公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都杉並区和田3-55,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/49.jpg,平成27年7月9日,［住所］和田3-55
51,35.681043,139.608935,区立昭栄公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都杉並区高井戸西1-12,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/50.jpg,平成27年7月9日,［住所］高井戸西1-12
52,35.7269204,139.611062,区立井草森公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都杉並区井草4-12-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/51.jpg,平成27年7月9日,［住所］井草4-12-1
53,35.709583,139.643056,区立馬橋公園,小規模応急給水槽（100立方メートル槽）,100,東京都杉並区高円寺北4-35-5,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/52.jpg,平成27年7月9日,［住所］高円寺北4-35-5
43,35.686516,139.666897,区立弥生公園,小規模応急給水槽（100立方メートル槽）,100,東京都中野区弥生町5-4,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/42.jpg,平成27年7月9日,［住所］弥生町5-4
44,35.7299689,139.665715,区立江古田の森公園,小規模応急給水槽（100立方メートル槽）,100,東京都中野区江古田3-14,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/43.jpg,平成27年7月9日,［住所］江古田3-14
45,35.724666,139.674613,区立みずのとう公園,小規模応急給水槽（100立方メートル槽）,100,東京都中野区江古田1-3,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/44.jpg,平成27年7月9日,［住所］江古田1-3
40,35.6881427,139.690673,淀橋給水所,浄水場・給水所,24000,東京都新宿区西新宿2-10-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/39.jpg,平成27年7月9日,［住所］西新宿2-10-1
41,35.706243,139.724088,区立鶴巻南公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都新宿区早稲田鶴巻町507,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/40.jpg,平成27年7月9日,［住所］早稲田鶴巻町507
42,35.705972,139.695727,区立百人町ふれあい公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都新宿区百人町3-28,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/41.jpg,平成27年7月9日,［住所］百人町3-28
84,35.730651,139.705442,区立西池袋公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都豊島区西池袋3-20-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/81.jpg,平成27年7月9日,［住所］西池袋3-20-1
85,35.7358562,139.728987,都立文京高等学校,小規模応急給水槽（100立方メートル槽）,100,東京都豊島区西巣鴨1-1-5,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/82.jpg,平成27年7月9日,［住所］西巣鴨1-1-5
