P20_001,名称,所在地,種別,P20_005,P20_006,P20_007,P20_008,P20_009,P20_010,P20_011,P20_012,レベル,備考,緯度,経度,NO
13101,いきいきプラザ一番町,東京都千代田区一番町12-2,指定避難所、二次避難所,-1,-1,0,0,0,0,0,1,1,,35.686898,139.739538,1
13101,お茶の水小学校,東京都千代田区猿楽町1-1-1,指定避難所、地区救援センター,-1,-1,0,0,0,0,0,1,1,,35.697347,139.760433,2
13101,ちよだパークサイドプラザ,東京都千代田区神田和泉町1,指定避難所、地区救援センター,-1,-1,0,0,0,0,0,1,3,,35.6993189991,139.778599,3
13101,岩本町ほほえみプラザ,東京都千代田区岩本町2-15-3,指定避難所,-1,-1,0,0,0,0,0,1,3,,35.694467,139.777894,4
13101,旧今川中学校,東京都千代田区鍛冶町2-4-2,指定避難所,-1,-1,0,0,0,0,0,1,3,,35.691698,139.773094,5
13101,旧練成中学校,東京都千代田区外神田6-11-14,指定避難所,-1,-1,0,0,0,0,0,1,3,,35.70421,139.770683,6
13101,九段小学校,東京都千代田区三番町16,指定避難所,-1,-1,0,0,0,0,0,1,1,,35.690291,139.740546,7
13101,九段生涯学習館,東京都千代田区九段南1-5-10,指定避難所,-1,-1,0,0,0,0,0,1,1,,35.695169,139.752106,8
13101,九段中等教育学校,東京都千代田区富士見1-10-14,指定避難所,-1,-1,0,0,0,0,0,1,4,,35.6965027571,139.74645831,9
13101,区立スポーツセンター,東京都千代田区内神田2-1-8,指定避難所,-1,-1,0,0,0,0,0,1,1,,35.68917,139.767556,10
13101,高齢者センター,東京都千代田区神田神保町2-20,指定避難所、二次避難所,-1,-1,0,0,0,0,0,1,1,,35.697124,139.756516,11
13101,麹町小学校,東京都千代田区麹町2-8,指定避難所、地区救援センター,-1,-1,0,0,0,0,0,1,1,,35.685653,139.739824,12
13101,麹町中学校,東京都千代田区平河町2-5-1,指定避難所,-1,-1,0,0,0,0,0,1,1,,35.680598,139.738769,13
13101,昌平童夢館,東京都千代田区外神田3-4-7,指定避難所、地区救援センター,-1,-1,0,0,0,0,0,1,3,,35.701152,139.769904,14
13101,神田さくら館,東京都千代田区神田司町2-16,指定避難所、地区救援センター,-1,-1,0,0,0,0,0,1,3,,35.6934859991,139.76846,15
13101,神田一橋中学校,東京都千代田区一ツ橋2-6-14,指定避難所,-1,-1,0,0,0,0,0,1,1,,35.694708,139.756822,16
13101,都立一橋高校,東京都千代田区東神田1-12-13,指定避難所,-1,-1,0,0,0,0,0,1,1,,35.6945699991,139.781071,17
13101,都立九段高校,東京都千代田区九段北2-2-1,指定避難所,-1,-1,0,0,0,0,0,1,1,,35.6960959991,139.747406,18
13101,都立日比谷高校,東京都千代田区永田町2-16-1,指定避難所,-1,-1,0,0,0,0,0,1,1,,35.676043,139.739435,19
13101,番町小学校,東京都千代田区六番町8,指定避難所,-1,-1,0,0,0,0,0,1,1,,35.688069,139.734074,20
13101,富士見小学校,東京都千代田区富士見1-1-6,指定避難所、地区救援センター,-1,-1,0,0,0,0,0,1,1,,35.697402,139.746128,21
13102,ほっとプラザはるみ,東京都中央区晴海5-2-3,拠点避難所,285,-1,0,0,0,0,0,1,3,,35.6518051004,139.77494355,22
13102,介護老人保健施設「リハポート明石」,東京都中央区明石町1-6,広域福祉避難所,145,-1,0,0,0,0,0,1,3,,35.669420992,139.776699435,23
13102,久松小学校,東京都中央区久松町7-2,避難所,1560,-1,0,0,0,0,0,1,1,,35.688958,139.784559,24
13102,京華スクエア（１、２階）,東京都中央区八丁堀3-17-9,避難所,981,-1,0,0,0,0,0,1,3,,35.6749963649,139.775571027,25
13102,京橋プラザ,東京都中央区銀座1-25-3,避難所,1008,-1,0,0,0,0,0,1,1,,35.673246,139.771717,26
13102,京橋築地小学校,東京都中央区築地2-13-1,避難所,1720,-1,0,0,0,0,0,1,1,,35.667989,139.771405,27
13102,教育センター,東京都中央区明石町12-1,広域福祉避難所,94,-1,0,0,0,0,0,1,3,,35.666526551,139.776905276,28
13102,銀座中学校,東京都中央区銀座8-19-15,避難所,2090,-1,0,0,0,0,0,1,1,,35.665628,139.764934,29
13102,月島児童館,東京都中央区月島4-1-1,拠点避難所,918,-1,0,0,0,0,0,1,1,,35.66199,139.782293,30
13102,月島社会教育会館,東京都中央区月島4-1-1,地域福祉避難所,140,-1,0,0,0,0,0,1,1,,35.661999,139.782189,31
13102,月島社会教育会館晴海分館「アートはるみ」,東京都中央区晴海1-4-1,地域福祉避難所,120,-1,0,0,0,0,0,1,1,,35.658869,139.785619,32
13102,月島第一小学校,東京都中央区月島4-15-1,避難所,1420,-1,0,0,0,0,0,1,1,,35.660851,139.780266,33
13102,月島第三小学校,東京都中央区晴海1-4-1,避難所,1840,-1,0,0,0,0,0,1,1,,35.658879,139.785626,34
13102,月島第二小学校,東京都中央区勝どき1-12-2,避難所,1620,-1,0,0,0,0,0,1,1,,35.660212,139.775822,35
13102,阪本小学校,東京都中央区兜町15-18,避難所,990,-1,0,0,0,0,0,1,1,,35.679738,139.77671,36
13102,十思スクエア,東京都中央区小伝馬町5-1,避難所,1660,-1,0,0,0,0,0,1,3,,35.6908724369,139.776993942,37
13102,城東小学校,東京都中央区八重洲2-2-2,避難所,940,-1,0,0,0,0,0,1,1,,35.679349,139.769211,38
13102,常盤小学校,東京都中央区本石町4-4-26,避難所,890,-1,0,0,0,0,0,1,1,,35.688459,139.770627,39
13102,新川区民館,東京都中央区新川1-26-1,拠点避難所,366,-1,0,0,0,0,0,1,1,,35.676414,139.783724,40
13102,晴海中学校,東京都中央区晴海1-5-3,避難所,1850,-1,0,0,0,0,0,1,1,,35.659546,139.784849,41
13102,泰明小学校,東京都中央区銀座5-1-13,避難所,930,-1,0,0,0,0,0,1,1,,35.672433,139.761767,42
13102,築地社会教育会館,東京都中央区築地4-15-1,地域福祉避難所,310,-1,0,0,0,0,0,1,1,,35.666379,139.768151,44
13102,中央小学校,東京都中央区湊1-4-1,避難所,710,-1,0,0,0,0,0,1,1,,35.672294,139.778738,45
13102,佃児童館シニアセンター,東京都中央区佃1-11-1,地域福祉避難所,170,-1,0,0,0,0,0,1,3,,35.6689059991,139.784737,46
13102,佃中学校,東京都中央区佃2-3-2,避難所,2380,-1,0,0,0,0,0,1,1,,35.667989,139.784987,47
13102,佃島小学校,東京都中央区佃2-3-1,避難所,2000,-1,0,0,0,0,0,1,1,,35.668572,139.784599,48
13102,特別養護老人ホーム「マイホームはるみ」,東京都中央区晴海1-5-1,広域福祉避難所,60,-1,0,0,0,0,0,1,1,,35.659962,139.78471,49
13102,特別養護老人ホーム「マイホーム新川」,東京都中央区新川2-27-3,広域福祉避難所,40,-1,0,0,0,0,0,1,1,,35.6731,139.783821,50
13102,日本橋公会堂集会室,東京都中央区日本橋蛎殻町1-31-1,拠点避難所,513,-1,0,0,0,0,0,1,1,,35.682486,139.784321,51
13102,日本橋社会教育会館,東京都中央区日本橋人形町1-1-17,地域福祉避難所,130,-1,0,0,0,0,0,1,1,,35.684771,139.781394,52
13102,日本橋小学校,東京都中央区人形町1-1-17,避難所,1240,-1,0,0,0,0,0,1,1,,35.684848,139.781377,53
